Date,Open,High,Low,Close,Volume
2010-01-04,5975.52,6048.3,5974.43,6048.3,104762719
2010-01-05,6043.94,6058.02,6015.67,6031.86,117172408
2010-01-06,6032.39,6047.57,5997.09,6034.33,107895259
2010-01-07,6016.8,6037.57,5961.25,6019.36,133064488
2010-01-08,6028.62,6053.04,5972.24,6037.61,125441343
2010-01-11,6057.93,6094.26,6031.14,6040.5,102871645
2010-01-12,6039.39,6055.56,5924.72,5943,128661908
2010-01-13,5937.17,5974.44,5925.24,5963.14,113438243
2010-01-14,5999.08,6009.91,5951.69,5988.88,114835207
2010-01-15,5996.56,6025.36,5866.84,5875.97,155362253
2010-01-18,5897.63,5922.93,5877.65,5918.55,79256497
2010-01-19,5905.33,5988.8,5849.67,5976.48,111885044
2010-01-20,5963.71,5972.77,5832.09,5851.53,117554993
2010-01-21,5878.24,5908.85,5742.45,5746.97,137822496
2010-01-22,5735.68,5740.87,5639.49,5695.32,176676296
2010-01-25,5662.85,5693.86,5624.58,5631.37,121717445
2010-01-26,5593.94,5675.96,5574.46,5668.93,140394952
2010-01-27,5643.52,5673.73,5589.01,5643.2,142731303
2010-01-28,5687.1,5718.81,5540.33,5540.33,184405187
2010-01-29,5566.03,5657.87,5556.19,5608.79,206427520
2010-02-01,5587.5,5674.21,5567.72,5654.48,129980080
2010-02-02,5664.25,5723.2,5624.61,5709.66,136775203
2010-02-03,5715.16,5733.71,5656.9,5672.09,132726082
2010-02-04,5671.17,5696.94,5522.57,5533.24,169315794
2010-02-05,5515.69,5527,5433.02,5434.34,235058628
2010-02-08,5476.47,5505.06,5434.4,5484.85,137162778
2010-02-09,5485.31,5537.97,5461.51,5498.26,129828609
2010-02-10,5533.71,5592.27,5505.37,5536.37,131401804
2010-02-11,5562.83,5580.77,5454.07,5503.93,121396277
2010-02-12,5550.45,5565.43,5460.05,5500.39,113664573
2010-02-15,5525.74,5547.14,5502.49,5511.1,61355435
2010-02-16,5573.07,5592.12,5498.07,5592.12,105785683
2010-02-17,5640.17,5682.36,5634.98,5648.34,121702108
2010-02-18,5645.63,5691.6,5626.08,5680.41,124587865
2010-02-19,5627.26,5729.58,5626.57,5722.05,121180193
2010-02-22,5741,5743.89,5683.61,5688.44,94229576
2010-02-23,5715.63,5732.14,5584.47,5604.07,137593664
2010-02-24,5622.31,5639.71,5572.25,5615.51,130251728
2010-02-25,5562.7,5655.75,5518.27,5532.33,149687837
2010-02-26,5588.99,5605.1,5530.19,5598.46,114159305
2010-03-01,5652.85,5717.72,5641.18,5713.51,97725785
2010-03-02,5728.28,5780.14,5709.74,5776.56,116279664
2010-03-03,5759.22,5828.8,5750.3,5817.88,104056624
2010-03-04,5773.86,5823.11,5767.65,5795.32,102872956
2010-03-05,5816.19,5880.25,5808.36,5877.36,110914226
2010-03-08,5891.74,5894.19,5865.44,5875.91,86072116
2010-03-09,5872.57,5900.16,5838.17,5885.89,96715188
2010-03-10,5882.76,5951.93,5874.75,5936.72,97680652
2010-03-11,5913.17,5954.55,5906.84,5928.63,90279730
2010-03-12,5944.57,5989.88,5934.15,5945.11,116640151
2010-03-15,5933.63,5953.19,5898.22,5903.56,85113856
2010-03-16,5935.19,5991.11,5930.34,5970.99,95903341
2010-03-17,5999.31,6035.95,5991.21,6024.28,116892043
2010-03-18,6005.29,6039.39,5995.68,6012.31,100310750
2010-03-19,6031.73,6041.95,5956.65,5982.43,240776505
2010-03-22,5960.85,5987.5,5910.85,5987.5,103660215
2010-03-23,5987.09,6030.94,5981.35,6017.27,101688829
2010-03-24,6038,6044.64,5964.76,6039,132080180
2010-03-25,6043.84,6139.5,6038.05,6132.95,134304732
2010-03-26,6125.87,6135.95,6105.67,6120.05,104370875
2010-03-29,6150.17,6172.85,6128.21,6156.85,92953298
2010-03-30,6187.64,6203.5,6135.51,6142.45,111389909
2010-03-31,6139.4,6162.18,6108.23,6153.55,106883492
2010-04-01,6189.38,6238.57,6186.59,6235.56,92274743
2010-04-06,6250.01,6265.32,6214.18,6252.21,90796081
2010-04-07,6248.37,6256.4,6208.52,6222.41,89347484
2010-04-08,6199.94,6207.14,6138.02,6171.83,102625064
2010-04-09,6226.26,6254.49,6216.6,6249.7,91850253
