Date,Open,High,Low,Close
2010-01-04,1.4325,1.4455,1.4257,1.4412
2010-01-05,1.4409,1.4482,1.4348,1.4361
2010-01-06,1.4362,1.4434,1.4284,1.4399
2010-01-07,1.44,1.4447,1.4301,1.4304
2010-01-08,1.4304,1.4438,1.4263,1.4398
2010-01-11,1.4412,1.4554,1.4412,1.4512
2010-01-12,1.4512,1.4545,1.4453,1.449
2010-01-13,1.4492,1.4579,1.4456,1.4499
2010-01-14,1.4499,1.4555,1.4446,1.4497
2010-01-15,1.4496,1.451,1.4336,1.4385
2010-01-18,1.4348,1.44,1.4335,1.4385
2010-01-19,1.4387,1.4413,1.4252,1.4288
2010-01-20,1.4286,1.4289,1.4082,1.4106
2010-01-21,1.4106,1.4141,1.4029,1.4084
2010-01-22,1.4084,1.4181,1.4067,1.4134
2010-01-25,1.415,1.4194,1.4127,1.4147
2010-01-26,1.4148,1.4179,1.4042,1.4077
2010-01-27,1.4078,1.4096,1.3992,1.4033
2010-01-28,1.4033,1.4051,1.3936,1.396
2010-01-29,1.3961,1.3986,1.3861,1.3861
2010-02-01,1.3862,1.3937,1.3852,1.3932
2010-02-02,1.3931,1.3973,1.3886,1.3966
2010-02-03,1.3965,1.4024,1.3886,1.3891
2010-02-04,1.389,1.3901,1.3715,1.3727
2010-02-05,1.3727,1.3745,1.3585,1.3677
2010-02-08,1.3655,1.3713,1.3622,1.3656
2010-02-09,1.3655,1.3838,1.3649,1.3794
2010-02-10,1.3794,1.3811,1.3677,1.3734
2010-02-11,1.3734,1.38,1.3597,1.3689
2010-02-12,1.3688,1.3694,1.3532,1.363
2010-02-15,1.3612,1.3633,1.3579,1.3598
2010-02-16,1.3599,1.3778,1.3588,1.3758
2010-02-17,1.3759,1.3788,1.3587,1.3599
2010-02-18,1.3598,1.3654,1.3483,1.349
2010-02-19,1.3496,1.3617,1.3445,1.3611
2010-02-22,1.3612,1.3653,1.3575,1.36
2010-02-23,1.36,1.3691,1.3496,1.3513
2010-02-24,1.3512,1.3625,1.3502,1.3538
2010-02-25,1.3537,1.357,1.3451,1.3539
2010-02-26,1.3538,1.3683,1.353,1.3631
2010-03-01,1.3621,1.3653,1.346,1.3568
2010-03-02,1.3568,1.3621,1.3436,1.3607
2010-03-03,1.3607,1.3735,1.3592,1.3694
2010-03-04,1.3694,1.371,1.3552,1.3579
2010-03-05,1.3579,1.3629,1.3529,1.3624
2010-03-08,1.3642,1.3704,1.3606,1.3627
2010-03-09,1.3626,1.3634,1.3538,1.3601
2010-03-10,1.3601,1.3678,1.3545,1.3655
2010-03-11,1.3653,1.3685,1.3621,1.3676
2010-03-12,1.3677,1.3795,1.3669,1.3767
2010-03-15,1.376,1.3774,1.3641,1.3672
2010-03-16,1.3671,1.3782,1.3657,1.3762
2010-03-17,1.3764,1.3816,1.3727,1.3736
2010-03-18,1.3735,1.374,1.3587,1.3607
2010-03-19,1.3607,1.3626,1.3503,1.3528
2010-03-22,1.3517,1.3567,1.3463,1.3557
2010-03-23,1.3558,1.3569,1.3476,1.349
2010-03-24,1.3491,1.3493,1.3305,1.3327
2010-03-25,1.3328,1.3385,1.3267,1.3271
2010-03-26,1.3271,1.3423,1.3271,1.3408
2010-03-29,1.3472,1.3504,1.3418,1.3474
2010-03-30,1.3475,1.3536,1.3395,1.3418
2010-03-31,1.3419,1.3547,1.3384,1.3506
2010-04-01,1.3506,1.3589,1.346,1.3583
2010-04-02,1.3584,1.359,1.3474,1.3502
2010-04-05,1.3492,1.3538,1.346,1.3481
2010-04-06,1.3482,1.3496,1.3356,1.3393
2010-04-07,1.3394,1.3408,1.3326,1.3338
2010-04-08,1.3339,1.3365,1.3282,1.3357
2010-04-09,1.3356,1.3499,1.3342,1.3499
2010-04-12,1.3625,1.369,1.3566,1.3586
2010-04-13,1.3585,1.3625,1.3547,1.3615
2010-04-14,1.3614,1.3677,1.3596,1.365
2010-04-15,1.3651,1.3666,1.3521,1.3579
2010-04-16,1.3579,1.3581,1.3472,1.3501
2010-04-19,1.3475,1.3497,1.3416,1.3489
2010-04-20,1.3488,1.3521,1.3428,1.3441
2010-04-21,1.3441,1.3446,1.336,1.3386
2010-04-22,1.3387,1.342,1.3261,1.3286
2010-04-23,1.3288,1.3399,1.3202,1.3384
2010-04-26,1.3345,1.3414,1.3291,1.3392
2010-04-27,1.3393,1.3412,1.3145,1.3159
2010-04-28,1.3163,1.3265,1.3115,1.3205
2010-04-29,1.3205,1.3277,1.3184,1.3242
2010-04-30,1.3239,1.3341,1.3225,1.3293
2010-05-03,1.3329,1.3329,1.3156,1.3187
2010-05-04,1.3188,1.3213,1.2963,1.2972
2010-05-05,1.2972,1.2995,1.279,1.2818
2010-05-06,1.2818,1.2856,1.2521,1.2627
2010-05-07,1.2629,1.2796,1.2586,1.2748
2010-05-10,1.2934,1.3092,1.2759,1.2787
2010-05-11,1.2786,1.28,1.2628,1.2632
2010-05-12,1.2632,1.2738,1.2607,1.2629
2010-05-13,1.2628,1.2682,1.2515,1.2521
2010-05-14,1.2522,1.2575,1.2354,1.2357
2010-05-17,1.2349,1.2413,1.2234,1.2399
2010-05-18,1.2398,1.2443,1.2159,1.2173
2010-05-19,1.2173,1.243,1.2143,1.2423
2010-05-20,1.2423,1.2596,1.2296,1.2468
2010-05-21,1.2472,1.2671,1.2463,1.2571
2010-05-24,1.2545,1.2558,1.2333,1.2345
2010-05-25,1.2348,1.2388,1.2177,1.2371
2010-05-26,1.237,1.237,1.2153,1.216
2010-05-27,1.216,1.2393,1.2153,1.2356
2010-05-28,1.2357,1.2449,1.2264,1.2271
2010-05-31,1.2279,1.2334,1.2266,1.2308
2010-06-01,1.2308,1.235,1.2111,1.2211
2010-06-02,1.2212,1.2272,1.2175,1.2249
2010-06-03,1.2249,1.2325,1.2152,1.2161
2010-06-04,1.2162,1.2215,1.1955,1.1964
2010-06-07,1.1952,1.199,1.1876,1.1917
2010-06-08,1.1917,1.2007,1.1903,1.1963
2010-06-09,1.1962,1.2072,1.1924,1.1984
2010-06-10,1.1985,1.2141,1.1957,1.2108
2010-06-11,1.2107,1.2151,1.2048,1.211
2010-06-14,1.2118,1.2298,1.2115,1.2213
2010-06-15,1.2215,1.2348,1.2167,1.2323
2010-06-16,1.2322,1.2351,1.2253,1.23
2010-06-17,1.2299,1.2411,1.2242,1.238
2010-06-18,1.2379,1.2415,1.2352,1.2389
2010-06-21,1.2428,1.2466,1.2303,1.2323
2010-06-22,1.2323,1.2353,1.2252,1.2268
2010-06-23,1.2268,1.2341,1.2209,1.2308
2010-06-24,1.231,1.2387,1.2261,1.2328
2010-06-25,1.2329,1.2393,1.2253,1.2368
2010-06-28,1.2381,1.2397,1.2265,1.2281
2010-06-29,1.2281,1.2289,1.2152,1.2188
2010-06-30,1.219,1.2301,1.2167,1.2232
2010-07-01,1.223,1.2537,1.2195,1.2518
2010-07-02,1.2516,1.261,1.2482,1.2564
2010-07-05,1.2555,1.2561,1.2509,1.2537
2010-07-06,1.2536,1.2661,1.248,1.2624
2010-07-07,1.2625,1.2663,1.2554,1.263
2010-07-08,1.2631,1.271,1.2621,1.2693
2010-07-09,1.2693,1.2721,1.2609,1.264
2010-07-12,1.2645,1.2646,1.2551,1.2588
2010-07-13,1.2589,1.2737,1.2523,1.2727
2010-07-14,1.2726,1.2776,1.2683,1.2742
2010-07-15,1.274,1.2954,1.271,1.293
2010-07-16,1.2932,1.3006,1.289,1.293
2010-07-19,1.2907,1.2989,1.287,1.2947
2010-07-20,1.2945,1.3027,1.2841,1.2891
2010-07-21,1.289,1.2911,1.2733,1.2753
2010-07-22,1.2754,1.2932,1.2739,1.2886
2010-07-23,1.2887,1.2964,1.2794,1.2911
2010-07-26,1.2896,1.3004,1.2878,1.2987
2010-07-27,1.2987,1.3045,1.2952,1.3
2010-07-28,1.2995,1.3041,1.2967,1.2987
2010-07-29,1.2988,1.3106,1.2979,1.3079
2010-07-30,1.3077,1.3092,1.298,1.3049
2010-08-02,1.3061,1.3194,1.3053,1.3175
2010-08-03,1.3174,1.326,1.3146,1.3226
2010-08-04,1.3225,1.3239,1.3132,1.3154
2010-08-05,1.3155,1.3234,1.312,1.3184
2010-08-06,1.3183,1.3332,1.3157,1.328
2010-08-09,1.3288,1.3307,1.3216,1.3224
2010-08-10,1.3223,1.323,1.3074,1.3174
2010-08-11,1.3177,1.3185,1.2829,1.2844
2010-08-12,1.2844,1.2932,1.278,1.2828
2010-08-13,1.2827,1.2904,1.2749,1.2756
2010-08-16,1.2765,1.287,1.2733,1.2821
2010-08-17,1.2821,1.2915,1.2803,1.2879
2010-08-18,1.2879,1.292,1.2823,1.2852
2010-08-19,1.2853,1.2902,1.2772,1.2815
2010-08-20,1.2817,1.2831,1.2664,1.271
2010-08-23,1.2704,1.2728,1.2646,1.2646
2010-08-24,1.2649,1.2718,1.2587,1.2631
2010-08-25,1.2632,1.2725,1.2609,1.2663
2010-08-26,1.2663,1.2763,1.265,1.2716
2010-08-27,1.2714,1.2774,1.2679,1.2761
2010-08-30,1.2764,1.2764,1.2658,1.2663
2010-08-31,1.2663,1.2741,1.2625,1.2688
2010-09-01,1.2689,1.2852,1.2664,1.2802
